id;name;;login;password;ip;lastenter;services;type;;;;;;;;;;;;;;
1;Clareta;Hacking;chacking0;4tzqHdkqzo4;147.231.50.234;02.10.2020;"[{""code"":557},{""code"":836},{""code"":287}]";1;;"[{""code"":557},{""code"":836},{""code"":287}]";;557;836;287;;;;8;14;17;;
2;Northrop;Mably;nmably1;ukM0e6;22.32.15.211;6.20.2020;"[{""code"":855},{""code"":619},{""code"":557},{""code"":836},{""code"":548}]";2;;"[{""code"":855},{""code"":619},{""code"":557},{""code"":836},{""code"":548}]";;855;619;557;836;548;;12;1;8;14;3
3;Fabian;Rolf;frolf2;7QpCwac0yi;113.92.142.29;5.19.2020;"[{""code"":543},{""code"":836}]";1;;"[{""code"":543},{""code"":836}]";;543;836;;;;;7;14;;;
4;Lauree;Raden;lraden3;5Ydp2mz;39.24.146.52;6.22.2020;"[{""code"":855},{""code"":258}]";1;;"[{""code"":855},{""code"":258}]";;855;258;;;;;12;4;;;
5;Barby;Follos;bfollos4;ckmAJPQV;87.232.97.3;3.18.2020;"[{""code"":543},{""code"":415},{""code"":619},{""code"":557}]";1;;"[{""code"":543},{""code"":415},{""code"":619},{""code"":557}]";;543;415;619;557;;;7;10;1;8;
6;Mile;Enterle;menterle5;0PRom6i;85.121.209.6;07.04.2020;"[{""code"":557},{""code"":836},{""code"":229}]";2;;"[{""code"":557},{""code"":836},{""code"":229}]";;557;836;229;;;;8;14;9;;
7;Midge;Peaker;mpeaker6;0Tc5oRc;196.39.132.128;09.03.2020;"[{""code"":287},{""code"":619},{""code"":548},{""code"":346}]";2;;"[{""code"":287},{""code"":619},{""code"":548},{""code"":346}]";;287;619;548;346;;;17;1;3;13;
8;Manon;Robichon;mrobichon7;LEwEjMlmE5X;143.159.207.105;8.31.2020;"[{""code"":415},{""code"":311},{""code"":176},{""code"":855}]";2;;"[{""code"":415},{""code"":311},{""code"":176},{""code"":855}]";;415;311;176;855;;;10;2;5;12;
9;Stavro;Robken;srobken8;Cbmj3Yi;12.154.73.196;5.22.2020;"[{""code"":323},{""code"":548},{""code"":346}]";3;;"[{""code"":323},{""code"":548},{""code"":346}]";;323;548;346;;;;11;3;13;;
10;Bryan;Tidmas;btidmas9;dYDHbBQfK;24.42.134.21;06.06.2020;"[{""code"":229},{""code"":346},{""code"":501},{""code"":548}]";3;;"[{""code"":229},{""code"":346},{""code"":501},{""code"":548}]";;229;346;501;548;;;9;13;6;3;
11;Jeannette;Fussie;jfussiea;EGxXuLQ9;98.194.112.137;8.21.2020;"[{""code"":287}]";2;;"[{""code"":287}]";;287;;;;;;17;;;;
12;Stephen;Antonacci;santonaccib;YcXAhY3Pja;198.146.255.15;10.03.2019;"[{""code"":619},{""code"":258},{""code"":229},{""code"":557},{""code"":797}]";2;;"[{""code"":619},{""code"":258},{""code"":229},{""code"":557},{""code"":797}]";;619;258;229;557;797;;1;4;9;8;16
13;Niccolo;Bountiff;nbountiffc;5xfyjS9ZULGA;231.78.246.229;1.22.2020;"[{""code"":323},{""code"":311},{""code"":557}]";1;;"[{""code"":323},{""code"":311},{""code"":557}]";;323;311;557;;;;11;2;8;;
14;Clemente;Benjefield;cbenjefieldd;tQOsP0ei9TuD;88.126.93.246;07.09.2020;"[{""code"":855},{""code"":176},{""code"":176},{""code"":855}]";3;;"[{""code"":855},{""code"":176},{""code"":176},{""code"":855}]";;855;176;176;855;;;12;5;5;12;
